title,year,journal,authors,doi,labels
"Physical, Sensorial, and Physicochemical Characteristics of Arabica Coffee Dried under Two Solar Brightness Conditions",2023,Processes,"Peñuela-Martínez, A.E. and Hower-García, I.P. and Guerrero, A. and Agudelo-Laverde, L.M. and Betancourt-Rodríguez, H. and Martínez-Giraldo, J.",10.3390/pr11103016,coffee_quality
"Physical, Sensorial, and Physicochemical Characteristics of Arabica Coffee Dried under Two Solar Brightness Conditions",2023,Processes,"Peñuela-Martínez, A.E. and Hower-García, I.P. and Guerrero, A. and Agudelo-Laverde, L.M. and Betancourt-Rodríguez, H. and Martínez-Giraldo, J.",10.3390/pr11103016,coffee_drying_stage
Performance Evaluation of an Inflated Solar Dryer Integrated with Phase Change Materials for Enhanced Drying of Cherry Coffee,2025,International Journal of Design and Nature and Ecodynamics,"Maryana, Y.E. and Saputra, D. and Priyanto, G. and Yuliati, K.",10.18280/ijdne.200119,coffee_quality
Performance Evaluation of an Inflated Solar Dryer Integrated with Phase Change Materials for Enhanced Drying of Cherry Coffee,2025,International Journal of Design and Nature and Ecodynamics,"Maryana, Y.E. and Saputra, D. and Priyanto, G. and Yuliati, K.",10.18280/ijdne.200119,coffee_drying_stage
Drying air temperature profile of independent hybrid solar dryer for agricultural products in respect to different energy supplies (a research note),2020,IOP Conference Series: Earth and Environmental Science,"Yuwana, Y. and Silvia, E. and Sidebang, B. and Habazar T. and Yonariza null and Yulnafatmawita null and Mahdi null and Hayati D. and Arief I.",10.1088/1755-1315/583/1/012033,drying_kinetics
Drying air temperature profile of independent hybrid solar dryer for agricultural products in respect to different energy supplies (a research note),2020,IOP Conference Series: Earth and Environmental Science,"Yuwana, Y. and Silvia, E. and Sidebang, B. and Habazar T. and Yonariza null and Yulnafatmawita null and Mahdi null and Hayati D. and Arief I.",10.1088/1755-1315/583/1/012033,mechanical_drying
Drying air temperature profile of independent hybrid solar dryer for agricultural products in respect to different energy supplies (a research note),2020,IOP Conference Series: Earth and Environmental Science,"Yuwana, Y. and Silvia, E. and Sidebang, B. and Habazar T. and Yonariza null and Yulnafatmawita null and Mahdi null and Hayati D. and Arief I.",10.1088/1755-1315/583/1/012033,coffee_drying_stage
Energy analysis of a hybrid solar dryer for drying coffee beans,2020,International Journal of Renewable Energy Development,"Suherman, S. and Widuri, H. and Patricia, S. and Susanto, E.E. and Sutrisna, R.J.",10.14710/ijred.9.1.131-139,energy_efficiency
Energy analysis of a hybrid solar dryer for drying coffee beans,2020,International Journal of Renewable Energy Development,"Suherman, S. and Widuri, H. and Patricia, S. and Susanto, E.E. and Sutrisna, R.J.",10.14710/ijred.9.1.131-139,mechanical_drying
Energy analysis of a hybrid solar dryer for drying coffee beans,2020,International Journal of Renewable Energy Development,"Suherman, S. and Widuri, H. and Patricia, S. and Susanto, E.E. and Sutrisna, R.J.",10.14710/ijred.9.1.131-139,coffee_drying_stage
Proposal for implantation of coffee drying greenhouse with parabolic cover and adapted modular structure,2020,Ingenius,"Briceño-Martínez, B. and Castillo-Calderón, J. and Carrión-Jaura, R. and Díaz-Sinche, D.",10.17163/ings.n24.2020.04,dryer_design
Proposal for implantation of coffee drying greenhouse with parabolic cover and adapted modular structure,2020,Ingenius,"Briceño-Martínez, B. and Castillo-Calderón, J. and Carrión-Jaura, R. and Díaz-Sinche, D.",10.17163/ings.n24.2020.04,mechanical_drying
Proposal for implantation of coffee drying greenhouse with parabolic cover and adapted modular structure,2020,Ingenius,"Briceño-Martínez, B. and Castillo-Calderón, J. and Carrión-Jaura, R. and Díaz-Sinche, D.",10.17163/ings.n24.2020.04,coffee_drying_stage
A data-driven approach to improve coffee drying: Combining environmental sensors and chemical analysis,2024,PLoS ONE,"Jakkaew, P. and Yingchutrakul, Y. and Aunsri, N.",10.1371/journal.pone.0296526,coffee_quality
A data-driven approach to improve coffee drying: Combining environmental sensors and chemical analysis,2024,PLoS ONE,"Jakkaew, P. and Yingchutrakul, Y. and Aunsri, N.",10.1371/journal.pone.0296526,coffee_drying_stage
Design of a Continuous Coffee Bean Solar Dryer,2020,Journal of Physics: Conference Series,"Ambarita, H. and Munthe, H.K.J. and Hutagalung, T.",10.1088/1742-6596/1542/1/012025,dryer_design
Design of a Continuous Coffee Bean Solar Dryer,2020,Journal of Physics: Conference Series,"Ambarita, H. and Munthe, H.K.J. and Hutagalung, T.",10.1088/1742-6596/1542/1/012025,coffee_drying_stage
Free electricity tandem-twin-hybrid solar-biomass dryer increased the performance of coffee cherry drying,2025,Research in Agricultural Engineering,"YUWANA, Y. and SYAFNIL, S.",10.17221/98/2024-RAE,energy_efficiency
Free electricity tandem-twin-hybrid solar-biomass dryer increased the performance of coffee cherry drying,2025,Research in Agricultural Engineering,"YUWANA, Y. and SYAFNIL, S.",10.17221/98/2024-RAE,coffee_drying_stage
Analysis of temperature and velocity distributions in a solar drying box coffee beans,2018,IOP Conference Series: Materials Science and Engineering,"Siagian, P. and Napitupulu, F.H. and Setyawan, E.Y. and Siagian, L. and Napitupulu, R.A.M. and Ambarita, H.",10.1088/1757-899X/420/1/012035,drying_kinetics
Analysis of temperature and velocity distributions in a solar drying box coffee beans,2018,IOP Conference Series: Materials Science and Engineering,"Siagian, P. and Napitupulu, F.H. and Setyawan, E.Y. and Siagian, L. and Napitupulu, R.A.M. and Ambarita, H.",10.1088/1757-899X/420/1/012035,mechanical_drying
Analysis of temperature and velocity distributions in a solar drying box coffee beans,2018,IOP Conference Series: Materials Science and Engineering,"Siagian, P. and Napitupulu, F.H. and Setyawan, E.Y. and Siagian, L. and Napitupulu, R.A.M. and Ambarita, H.",10.1088/1757-899X/420/1/012035,coffee_drying_stage
Drying gayo coffee under natural processing by using modified Hohenheim solar tunnel dryer in Gayo highland,2024,IOP Conference Series: Earth and Environmental Science,"Khathir, R. and Yunita, Y. and Agustina, R. and Jayanti, D.S. and Siagian, A.",10.1088/1755-1315/1297/1/012018,mechanical_drying
Drying gayo coffee under natural processing by using modified Hohenheim solar tunnel dryer in Gayo highland,2024,IOP Conference Series: Earth and Environmental Science,"Khathir, R. and Yunita, Y. and Agustina, R. and Jayanti, D.S. and Siagian, A.",10.1088/1755-1315/1297/1/012018,coffee_drying_stage
Performance Investigation of an Inflatable Solar Dryer with Steel-Can Solar Air Heater for Drying Coffee and Corn,2022,"Engineering, Technology and Applied Science Research","Oria, C.L. and Palconit, E.V.",10.48084/etasr.4966,mechanical_drying
Performance Investigation of an Inflatable Solar Dryer with Steel-Can Solar Air Heater for Drying Coffee and Corn,2022,"Engineering, Technology and Applied Science Research","Oria, C.L. and Palconit, E.V.",10.48084/etasr.4966,coffee_drying_stage
The Effect of Varying the Air Flow in a Solar Collector on the Quality of Arabica Coffee Beans,2024,Fluids,"Siagian, P. and Napitupulu, F.H. and Ambarita, H. and Sihombing, H.V. and Sibagariang, Y.P. and Siagian, H.S.",10.3390/fluids9030075,coffee_quality
The Effect of Varying the Air Flow in a Solar Collector on the Quality of Arabica Coffee Beans,2024,Fluids,"Siagian, P. and Napitupulu, F.H. and Ambarita, H. and Sihombing, H.V. and Sibagariang, Y.P. and Siagian, H.S.",10.3390/fluids9030075,mechanical_drying
The Effect of Varying the Air Flow in a Solar Collector on the Quality of Arabica Coffee Beans,2024,Fluids,"Siagian, P. and Napitupulu, F.H. and Ambarita, H. and Sihombing, H.V. and Sibagariang, Y.P. and Siagian, H.S.",10.3390/fluids9030075,coffee_drying_stage
Changes in fatty acids profile and sucrose concentration of coffee beans during drying process,2023,Journal of Food Process Engineering,"Largo-Avila, E. and Suárez-Rodríguez, C.H. and Maya, J.C. and Ciro-Velásquez, H.J. and Chejne, F.",10.1111/jfpe.14385,coffee_quality
Changes in fatty acids profile and sucrose concentration of coffee beans during drying process,2023,Journal of Food Process Engineering,"Largo-Avila, E. and Suárez-Rodríguez, C.H. and Maya, J.C. and Ciro-Velásquez, H.J. and Chejne, F.",10.1111/jfpe.14385,coffee_drying_stage
Effect of altitude on coffee (Coffea arabica L.) quality: Comparison between mechanical and traditional drying,2019,Scientia Agropecuaria,"Guevara-Sánchez, M. and Bernales del Águila, C.I. and Saavedra-Ramírez, J. and Owaki-López, J.J.",10.17268/sci.agropecu.2019.04.07,solar_drying
Effect of altitude on coffee (Coffea arabica L.) quality: Comparison between mechanical and traditional drying,2019,Scientia Agropecuaria,"Guevara-Sánchez, M. and Bernales del Águila, C.I. and Saavedra-Ramírez, J. and Owaki-López, J.J.",10.17268/sci.agropecu.2019.04.07,coffee_quality
Effect of altitude on coffee (Coffea arabica L.) quality: Comparison between mechanical and traditional drying,2019,Scientia Agropecuaria,"Guevara-Sánchez, M. and Bernales del Águila, C.I. and Saavedra-Ramírez, J. and Owaki-López, J.J.",10.17268/sci.agropecu.2019.04.07,mechanical_drying
Effect of altitude on coffee (Coffea arabica L.) quality: Comparison between mechanical and traditional drying,2019,Scientia Agropecuaria,"Guevara-Sánchez, M. and Bernales del Águila, C.I. and Saavedra-Ramírez, J. and Owaki-López, J.J.",10.17268/sci.agropecu.2019.04.07,coffee_drying_stage
