title,year,journal,authors,doi,labels
"Effect of particle size of leather wastes on the processing, vulcanization, and physico-mechanical properties of natural rubber/leather wastes composites",2022,Journal of Composite Materials,"Urrego Yepes, W. and Cardona, N. and Velasquez, S.M. and Giraldo Vásquez, D.H. and Posada, J.C.",10.1177/00219983211047691,Residuos: Residuos sólidos
"Effect of particle size of leather wastes on the processing, vulcanization, and physico-mechanical properties of natural rubber/leather wastes composites",2022,Journal of Composite Materials,"Urrego Yepes, W. and Cardona, N. and Velasquez, S.M. and Giraldo Vásquez, D.H. and Posada, J.C.",10.1177/00219983211047691,Tipo de valorización: Reutilización directa
Solid waste-derived biodegradable keratin sponges for removal of chromium: A circular approach for waste management in leather industry,2020,Environmental Technology and Innovation,"Hussain, F.S. and Memon, N. and Khatri, Z. and Memon, S.",10.1016/j.eti.2020.101120,Producto: Materiale
Solid waste-derived biodegradable keratin sponges for removal of chromium: A circular approach for waste management in leather industry,2020,Environmental Technology and Innovation,"Hussain, F.S. and Memon, N. and Khatri, Z. and Memon, S.",10.1016/j.eti.2020.101120,Residuos: Residuos sólidos
Solid waste-derived biodegradable keratin sponges for removal of chromium: A circular approach for waste management in leather industry,2020,Environmental Technology and Innovation,"Hussain, F.S. and Memon, N. and Khatri, Z. and Memon, S.",10.1016/j.eti.2020.101120,Residuos: Residuos con cromo
Solid waste-derived biodegradable keratin sponges for removal of chromium: A circular approach for waste management in leather industry,2020,Environmental Technology and Innovation,"Hussain, F.S. and Memon, N. and Khatri, Z. and Memon, S.",10.1016/j.eti.2020.101120,Tipo de valorización: Aplicaciones ambientales
An advanced multifunctional leather derived from discarded leather scraps toward personal thermal management and health protection,2025,Polymer,"Liang, T. and Liu, J. and Tang, L. and Yuan, M. and Wang, J. and Wang, Y. and Gong, Y. and Li, Y. and Zhong, K. and Hou, S. and Tang, L.",10.1016/j.polymer.2025.128265,Producto: Materiale
An advanced multifunctional leather derived from discarded leather scraps toward personal thermal management and health protection,2025,Polymer,"Liang, T. and Liu, J. and Tang, L. and Yuan, M. and Wang, J. and Wang, Y. and Gong, Y. and Li, Y. and Zhong, K. and Hou, S. and Tang, L.",10.1016/j.polymer.2025.128265,Residuos: Residuos sólidos
An advanced multifunctional leather derived from discarded leather scraps toward personal thermal management and health protection,2025,Polymer,"Liang, T. and Liu, J. and Tang, L. and Yuan, M. and Wang, J. and Wang, Y. and Gong, Y. and Li, Y. and Zhong, K. and Hou, S. and Tang, L.",10.1016/j.polymer.2025.128265,Tipo de valorización: Reutilización directa
Recycling leather buffing dust into activated carbon for efficient turbidity removal from tannery wastewater,2025,Next Materials,"Mohsin, M. and Karim, M.S. and Noyon, M.A.R. and Farhana Yeasmin, M. and Ali, M.M. and Elias Uddin, M.",10.1016/j.nxmate.2025.101022,Producto: Materiale
Recycling leather buffing dust into activated carbon for efficient turbidity removal from tannery wastewater,2025,Next Materials,"Mohsin, M. and Karim, M.S. and Noyon, M.A.R. and Farhana Yeasmin, M. and Ali, M.M. and Elias Uddin, M.",10.1016/j.nxmate.2025.101022,Residuos: Residuos sólidos
Recycling leather buffing dust into activated carbon for efficient turbidity removal from tannery wastewater,2025,Next Materials,"Mohsin, M. and Karim, M.S. and Noyon, M.A.R. and Farhana Yeasmin, M. and Ali, M.M. and Elias Uddin, M.",10.1016/j.nxmate.2025.101022,Residuos: Residuos con cromo
