title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Physiological and sensorial quality of arabica coffee subjected to different temperatures and drying airflows,"Alves, G.E. and Borém, F.M. and Isquierdo, E.P. and Siqueira, V.C. and Cirillo, M.Â. and Pinto, A.C.F.",2017,Acta Scientiarum - Agronomy,10.4025/actasciagron.v39i2.31065,mechanical_drying,True,no
Experimental Analysis and Numerical Simulation of Coffee Bean Drying in Packed Beds with Different Coffee Bean Stack Height,"Fauzi, M.B. and Kosasih, E.A. and Dzaky, M.I. and Nasution, G.G. and Zikri, A.",2025,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,10.37934/arfmts.128.2.122138,mechanical_drying,True,no
"Influence of Drying Methods on the Post-Harvest Quality of Coffee: Effects on Physicochemical, Sensory, and Microbiological Composition","Abreu, D.J.M.D. and Lorenço, M.S. and Machado, G.G.L. and Silva, J.M. and Azevedo, E.C.D. and Carvalho, E.E.N.",2025,Foods,10.3390/foods14091463,mechanical_drying,True,no
Simulation of temperature and air flow distribution in coffee drying chamber using low enthalpy geothermal energy resource with thermosiphon technology,"Hakim, I.I. and Palupi, I.D. and Putra, N. and Ariyadi H.M. and Indarto null and Kamal S. and Saptoadi H. and Deendarlianto null",2024,AIP Conference Proceedings,10.1063/5.0188419,mechanical_drying,True,no
The effect of drying temperature on cup quality of coffee subjected to mechanical drying,"Sandeep, T.N. and Channabasamma, B.B. and Gopinandhan, T.N. and Nagaraja, J.S.",2021,Journal of Plantation Crops,10.25081/jpc.2021.v49.i1.7059,mechanical_drying,True,no
Mathematical modelling and immediate and latent quality of natural immature coffee under different drying conditions,"de Andrade, E.T. and Lemos, I.A. and Dias, C.A. and Rios, P.A. and Borém, F.M.",2019,Engenharia Agricola,10.1590/1809-4430-Eng.Agric.v39n5p630-638/2019,mechanical_drying,True,no
COFFEE DRYER WITH DEHYDRATED AIR: A TECHNICAL AND ECONOMIC VIABILITY ANALYSIS,"Konopatzki, E.A. and Christ, D. and Coelho, S.R.M. and Demito, A. and Werncke, I. and da M. Camicia, R.G.",2022,Engenharia Agricola,10.1590/1809-4430-Eng.Agric.v42n4e20210003/2022,mechanical_drying,True,no
Analysis on the Performance of Designed Fluidized Bed Dryer for Drying Coffee Beans,"Konsil, K.K. and Sazali, N. and Kadirgama, K. and Harun, W.S.W. and Zainol, N.",2023,Journal of Advanced Research in Applied Sciences and Engineering Technology,10.37934/araset.31.1.99109,mechanical_drying,True,no
Quality of natural and pulped coffee as a function of temperature changes during mechanical drying,"de Oliveira, P.D. and Biaggioni, M.A.M. and Borém, F.M. and Isquierdo, E.P. and de Oliveira Vaz Damasceno, M.",2018,Coffee Science,10.25186/cs.v13i4.1435,mechanical_drying,True,no
Influence of drying condition on the drying constants and activation energy for robusta coffee using heat pump drying,"Fauzi, M.B. and Kosasih, E.A. and Dzaky, M.I. and Tong C.W. and Man T.V. and Huat B.S.L. and Hoe W.K.",2024,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1372/1/012105,mechanical_drying,True,no
Implementation of fuzzy logic control algorithm for temperature control in robusta rotary dryer coffee bean dryer,"Nafisah, N. and Syamsiana, I.N. and Putri, R.I. and Kusuma, W. and Sumari, A.D.W.",2024,MethodsX,10.1016/j.mex.2024.102580,mechanical_drying,True,no
"Unveiling the Impact of Infrared Drying on the Quality of Coffee Leaves: A Comprehensive Analysis of Physicochemical Indices, Antioxidant Potential, Maillard Reaction Products, and Aroma Profile","Huang, Y. and Sun, Y. and Cao, Q. and Chen, D. and He, R. and Chen, X.",2025,Journal of Food Science,10.1111/1750-3841.70400,mechanical_drying,True,no
"Evaluation of the impact of different drying methods on the phenolic compounds, antioxidant activity, and in vitro digestion of green coffee beans","Cheng, K. and Dong, W. and Long, Y. and Zhao, J. and Hu, R. and Zhang, Y. and Zhu, K.",2019,Food Science and Nutrition,10.1002/fsn3.948,mechanical_drying,True,no
