title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Simulation of temperature and air flow distribution in coffee drying chamber using low enthalpy geothermal energy resource with thermosiphon technology,"Hakim, I.I. and Palupi, I.D. and Putra, N. and Ariyadi H.M. and Indarto null and Kamal S. and Saptoadi H. and Deendarlianto null",2024,AIP Conference Proceedings,10.1063/5.0188419,coffee_drying_stage,True,no
The effect of drying temperature on cup quality of coffee subjected to mechanical drying,"Sandeep, T.N. and Channabasamma, B.B. and Gopinandhan, T.N. and Nagaraja, J.S.",2021,Journal of Plantation Crops,10.25081/jpc.2021.v49.i1.7059,coffee_drying_stage,True,no
Mathematical modelling and immediate and latent quality of natural immature coffee under different drying conditions,"de Andrade, E.T. and Lemos, I.A. and Dias, C.A. and Rios, P.A. and Borém, F.M.",2019,Engenharia Agricola,10.1590/1809-4430-Eng.Agric.v39n5p630-638/2019,coffee_drying_stage,True,no
COFFEE DRYER WITH DEHYDRATED AIR: A TECHNICAL AND ECONOMIC VIABILITY ANALYSIS,"Konopatzki, E.A. and Christ, D. and Coelho, S.R.M. and Demito, A. and Werncke, I. and da M. Camicia, R.G.",2022,Engenharia Agricola,10.1590/1809-4430-Eng.Agric.v42n4e20210003/2022,coffee_drying_stage,True,no
Analysis on the Performance of Designed Fluidized Bed Dryer for Drying Coffee Beans,"Konsil, K.K. and Sazali, N. and Kadirgama, K. and Harun, W.S.W. and Zainol, N.",2023,Journal of Advanced Research in Applied Sciences and Engineering Technology,10.37934/araset.31.1.99109,coffee_drying_stage,True,no
Quality of natural and pulped coffee as a function of temperature changes during mechanical drying,"de Oliveira, P.D. and Biaggioni, M.A.M. and Borém, F.M. and Isquierdo, E.P. and de Oliveira Vaz Damasceno, M.",2018,Coffee Science,10.25186/cs.v13i4.1435,coffee_drying_stage,True,no
Comparative analysis of heating efficiency in a coffee bean dryer machine using one and two thermoelectric peltier modules,"Mustafa, M.M. and Khalid, F. and Sariman, M.Z. and Aminordin, A. and Shafie, A.M.M.",2025,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1535/1/012012,coffee_drying_stage,True,no
Thermal design of 5 kg capacity coffee bean dryer simulator using Geothermal energy,"Hendrarsakti, J. and Firmansyah, M.R.",2019,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/254/1/012019,coffee_drying_stage,True,no
Influence of drying condition on the drying constants and activation energy for robusta coffee using heat pump drying,"Fauzi, M.B. and Kosasih, E.A. and Dzaky, M.I. and Tong C.W. and Man T.V. and Huat B.S.L. and Hoe W.K.",2024,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1372/1/012105,coffee_drying_stage,True,no
Origin of black-green defect in the artificial drying of immature coffees,"Rios, P.A. and Andrade, E.T. and Cardoso, D.B.",2021,Coffee Science,10.25186/.v16i.1884,coffee_drying_stage,True,no
Impact of drying methods over the germinative potential of conilon coffee of late maturation,"Posse, S.C.P. and Rodrigues, W.N. and Comério, M. and Volpi, P.S. and Filho, A.C.V. and Posse, R.P. and Oliveira, V.S. and Arantes, S.D.",2019,Coffee Science,10.25186/cs.v14i4.1624,coffee_drying_stage,True,no
Modeling and simulation of heat and mass transfer during drying of coffee in a box dryer using C++ programming language,"Rabello, G.L. and Pimentel, U.F. and Aranda, D. and Poubel, W.",2021,Brazilian Journal of Food Technology,10.1590/1981-6723.27220,coffee_drying_stage,True,no
Implementation of fuzzy logic control algorithm for temperature control in robusta rotary dryer coffee bean dryer,"Nafisah, N. and Syamsiana, I.N. and Putri, R.I. and Kusuma, W. and Sumari, A.D.W.",2024,MethodsX,10.1016/j.mex.2024.102580,coffee_drying_stage,True,no
Physicochemical and Sensory Properties of Arabica Coffee Beans of Arara cv. Dried Using Different Methods,"Coelho, E.G. and Bertarini, P.L.L. and Gomes, M.S. and Amaral, L.R. and Zotarelli, M.F. and Santos, L.D. and Santana, R.C.",2024,Foods,10.3390/foods13050642,coffee_drying_stage,True,no
"Unveiling the Impact of Infrared Drying on the Quality of Coffee Leaves: A Comprehensive Analysis of Physicochemical Indices, Antioxidant Potential, Maillard Reaction Products, and Aroma Profile","Huang, Y. and Sun, Y. and Cao, Q. and Chen, D. and He, R. and Chen, X.",2025,Journal of Food Science,10.1111/1750-3841.70400,coffee_drying_stage,True,no
"Evaluation of the impact of different drying methods on the phenolic compounds, antioxidant activity, and in vitro digestion of green coffee beans","Cheng, K. and Dong, W. and Long, Y. and Zhao, J. and Hu, R. and Zhang, Y. and Zhu, K.",2019,Food Science and Nutrition,10.1002/fsn3.948,coffee_drying_stage,True,no
Simulation of coffee fruit drying using computational fluid dynamics,"Amaral, R. and de Andrade, E.T. and Gomes, F.C. and Borém, F.M. and Lemos, I.A. and de Almeida Dias, C.",2018,Coffee Science,10.25186/cs.v13i4.1489,coffee_drying_stage,True,no
Thermophysical properties of parchment coffee: New Colombian varieties,"Duque-Dussán, E. and Sanz-Uribe, J.R. and Dussán-Lubert, C. and Banout, J.",2023,Journal of Food Process Engineering,10.1111/jfpe.14300,coffee_drying_stage,False,no
Sensory analysis of coffee dried with and without stirring,"Ribeiro, B.B. and de Medeiros Câmara, F.M. and Mendes, A.N.G. and da Silva, V.A. and Montanari, F.F.",2018,Coffee Science,10.25186/cs.v13i4.1472,coffee_drying_stage,False,no
NUMERICAL APPROACH FOR PREDICTION OF AIRFLOW BEHAVIOR IN COFFEE BEAN MONOLAYERS DURING DRYING PROCESS,"Bustos-Vanegas, J.D. and Aragón, L. and Gutiérrez-Guzmán, N. and Córdoba, N.",2022,Engenharia Agricola,10.1590/1809-4430-ENG.AGRIC.V42N2E20210205/2022,coffee_drying_stage,True,no
Mathematical modeling of coffee beans drying: addressing challenges of determining moisture ratio under natural conditions,"Romero Leiton, J.P. and Gomez, T.P.C. and Mesa-Mazo, M.J. and Eraso-Checa, F. and Lagos, C. and Sekkak, I.",2025,Coffee Science,10.25186/.v20i.2385,coffee_drying_stage,True,no
Bioclimatic analysis of three buildings for wet processing of coffee in Colombia,"Hernández, R.O. and Tinôco, I.F.F. and Carlo, J.C. and Saraz, J.A.O. and Torres, I.D.A.",2018,Revista Facultad Nacional de Agronomia Medellin,10.15446/rfnam.v71n3.64566,coffee_drying_stage,True,no
Thermodynamic properties of water adsorption of Coffea arabica L. grains,"Dos Santos, S.G.F. and Almeida, V.G. and Cruz, D.R.C. and Rodovalho, R.S.",2020,Cientifica,10.15361/1984-5529.2020V48N4P302-310,coffee_drying_stage,True,no
Mathematical modeling of dehydration resistance of pericarp tissues and endosperm in fruits of Arabic coffee,"Dias, C.A. and de Andrade, E.T. and Lemos, I.À. and Borém, F.M. and Westerich, D.N. and da Silva, A.C.A.",2020,Coffee Science,10.25186/.v15i.1670,coffee_drying_stage,False,no
Design and Development of Equipment forAgricultural Grains and Coffee Cherry,"Stanley, G. and Thufail, M. and Gopala, M. and Ali, S.M. and Tanappagol, P. and Anthony, J. and Hegde R. and Kodi S.K.S. and Rao G.",2024,AIP Conference Proceedings,10.1063/5.0195881,coffee_drying_stage,True,no
